Account,date,total_pnl,avg_pnl,trades_count,win_rate,avg_size_usd,avg_execution_price,avg_fee,coins_traded,sentiment_value,sentiment_class,fg_lag1,fg_lag3,fg_lag7,pnl_per_trade,pnl_per_usd
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2025-02-19,45883.628955,325.41580819148936,141,0.5602836879432624,4338.219787234042,55001.912727730494,0.4588248074964539,3,44.0,Fear,47.0,54.0,46.0,325.41580819148936,0.07501136967497159
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859,128.82054872,125,0.216,6480.62816,412.56482296,1.043260744,8,74.0,Greed,72.0,71.0,72.0,128.82054872,0.01987778739028903
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142,710.8644346589148,258,0.2441860465116279,4563.756162790698,43542.22664767442,0.5331763410038759,8,44.0,Fear,47.0,54.0,46.0,710.8644346589148,0.15576301829066766
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,0.0,88,0.0,1136.3127272727272,0.13145136363636364,2.876204659090909,1,84.0,Extreme Greed,81.0,75.0,80.0,0.0,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,584.5921621445783,249,0.9518072289156626,1759.9534939759035,4.956552686947791,0.1276724979919679,10,50.0,Neutral,51.0,47.0,46.0,584.5921621445783,0.33216341462746757
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105,3731.4073977906974,43,0.8837209302325582,6742.71976744186,3.4146797927906976,2.359923348837209,7,74.0,Greed,72.0,71.0,72.0,3731.4073977906974,0.553397964988595
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862,164.72117118032787,671,0.4828614008941878,2807.6623994038746,6.331125782414308,0.4521494918032787,3,44.0,Fear,47.0,54.0,46.0,164.72117118032787,0.0586684393448805
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0,0.0,186,0.0,1365.6282795698924,2.6693784946236563,0.3077497634408602,1,,,,,,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,69282.42904,18.6694769711668,3711,0.3381837779574239,494.23683912691996,1410.0689556568796,0.16793241620856914,50,74.0,Greed,72.0,71.0,72.0,18.6694769711668,0.037774353292131836
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,32683.214094,7.060534476992871,4629,0.36552171095268954,541.9522812702527,4531.135106611588,0.12840556458546123,40,44.0,Fear,47.0,54.0,46.0,7.060534476992871,0.013027963385344675
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-06-15,1378.073027,7.698731994413407,179,0.3575418994413408,368.8205586592179,10775.436518843575,0.07407802327262569,11,,,,,,7.698731994413407,0.02087392314138016
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2024-10-27,61076.167808,186.20782868292682,328,0.4115853658536585,8444.161189024391,3.929475593841463,2.223899292682927,2,74.0,Greed,72.0,71.0,72.0,186.20782868292682,0.022051666768862405
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-02-19,613327.827224,161.14761619127694,3806,0.4952706253284288,8998.349072517078,7674.800991447714,1.8150603692038887,10,44.0,Fear,47.0,54.0,46.0,161.14761619127694,0.0179085757723555
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2025-06-15,3343.0556109999998,15.058809058558557,222,0.44144144144144143,11511.476621621621,48839.25810148198,1.7497011756756757,2,,,,,,15.058809058558557,0.0013081561604593888
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,-10.848590454794524,730,0.30684931506849317,6219.798493150685,3316.7468493150686,2.1769289972602737,1,84.0,Extreme Greed,81.0,75.0,80.0,-10.848590454794524,-0.001744202881611216
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,-19.856001786860197,1309,0.3315508021390374,10190.317929717341,3128.905811464263,3.566610576012223,22,50.0,Neutral,51.0,47.0,46.0,-19.856001786860197,-0.001948516417623779
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007,65.31444392660012,1703,0.3282442748091603,19645.16682912507,84502.8826784919,6.263326196124487,3,74.0,Greed,72.0,71.0,72.0,65.31444392660012,0.0033247080309731837
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998,59.93266547845865,3737,0.39175809472839174,20468.303636606903,94679.48541610918,6.195787632592989,1,44.0,Fear,47.0,54.0,46.0,59.93266547845865,0.002928071937103327
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.978187,73.21883987619047,105,0.49523809523809526,17592.19438095238,91114.39047619047,6.157267580952381,1,,,,,,73.21883987619047,0.004162007211304282
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0,0.0,223,0.0,3261.5788789237668,19.589991031390134,0.05551682560538117,1,74.0,Greed,72.0,71.0,72.0,0.0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209,69.84622610507184,5777,0.4156136402977324,28304.44506318158,62871.74452726328,4.873936405674225,4,44.0,Fear,47.0,54.0,46.0,69.84622610507184,0.0024676769302192677
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907007,70.06428912876844,6236,0.4021808851828095,41153.69550032072,70849.13360487492,7.738218733803721,2,,,,,,70.06428912876844,0.001702502977605557
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031,406.15709612399996,250,1.0,525.47136,26.778168,0.147706692,1,74.0,Greed,72.0,71.0,72.0,406.15709612399996,0.7729385976887494
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871,12.20164487937063,572,0.2692307692307692,891.0710664335664,18120.966514991258,0.21097648939230768,13,44.0,Fear,47.0,54.0,46.0,12.20164487937063,0.013693234287369065
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.60187,1.389554705882353,153,0.1111111111111111,568.6079738562091,9043.70752875817,0.1910513202614379,9,,,,,,1.389554705882353,0.002443783361774921
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,327545.999992,1621.5148514455445,202,0.5148514851485149,16311.138465346536,3650.089108910891,1.6311134455445544,1,74.0,Greed,72.0,71.0,72.0,1621.5148514455445,0.09941150673758901
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,98269.195073,105.43905050751073,932,0.43991416309012876,8098.078723175966,1283.2547414163091,1.2116093951609441,4,44.0,Fear,47.0,54.0,46.0,105.43905050751073,0.013020255064420866
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-06-15,3540.3708500000002,7.763971162280702,456,0.07894736842105263,1386.494692982456,0.9859740350877193,0.20336051315789475,2,,,,,,7.763971162280702,0.005599712138515155
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418,123.4787098281623,419,0.028639618138424822,2305.200429594272,15.257232696897374,0.2212984057279236,3,74.0,Greed,72.0,71.0,72.0,123.4787098281623,0.05356528145793172
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741,364.15914242918,939,0.3961661341853035,2123.4002662406815,138.26614991054313,0.200759731799787,25,44.0,Fear,47.0,54.0,46.0,364.15914242918,0.1714981147072643
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49,129.5623611111111,72,0.75,1269.3402777777778,417.2946756666667,0.12185594444444445,12,,,,,,129.5623611111111,0.10207062942801652
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,61.76984024662939,3041,0.8240710292666886,3677.8091055573827,390.14303335711935,0.13331416014468925,48,84.0,Extreme Greed,81.0,75.0,80.0,61.76984024662939,0.016795281776123615
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998,0.027119999999999995,6,0.16666666666666666,34.916666666666664,5.01125,0.007833833333333333,3,50.0,Neutral,51.0,47.0,46.0,0.027119999999999995,0.000776706443914081
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877,36.935366020669285,1016,0.8208661417322834,2056.391348425197,394.46078724015746,0.2882936571653543,19,74.0,Greed,72.0,71.0,72.0,36.935366020669285,0.01796125336208729
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913,27.882915847082906,4885,0.7985670419651996,2330.3033080859777,7.968035968065507,0.3560535623336745,38,44.0,Fear,47.0,54.0,46.0,27.882915847082906,0.01196535908022414
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011,18.53839577883598,945,0.8253968253968254,1134.6507724867724,0.7745977608465608,0.16674684656084657,13,,,,,,18.53839577883598,0.016338415509299004
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,14781.443047,9.511868112612612,1554,0.4510939510939511,3643.361287001287,5336.222562625483,0.49619166985842983,7,44.0,Fear,47.0,54.0,46.0,9.511868112612612,0.0026107397436946123
